reference,leader,word,trailer,lemma
0.1,,Πολύκαρπος,,
0.1,,καὶ,,καί
0.1,,οἱ,,
0.1,,σὺν,,σύν
0.1,,αὐτῷ,,αὐτός
0.1,,πρεσβύτεροι,,πρέσβυς
0.1,,τῇ,,
0.1,,ἐκκλησίᾳ,,ἐκκλησία
0.1,,τοῦ,,
0.1,,θεοῦ,,θεός
0.1,,τῇ,,
0.1,,παροικούσῃ,,παροικέω
0.1,,Φιλίππους,·,
0.1,,ἔλεος,,ἔλεος
0.1,,ὑμῖν,,σύ
0.1,,καὶ,,καί
0.1,,εἰρήνη,,
0.1,,παρὰ,,παρά
0.1,,θεοῦ,,θεός
0.1,,παντοκράτορος,,παντοκράτωρ
0.1,,καὶ,,καί
0.1,,Ἰησοῦ,,Ἰησοῦς
0.1,,Χριστοῦ,,χριστός
0.1,,τοῦ,,
0.1,,σωτῆρος,,σωτήρ
0.1,,ἡμῶν,,ἐγώ
0.1,,πληθυνθείη,.,πληθύνω
1.1,,Συνεχάρην,,συγχαίρω
1.1,,ὑμῖν,,σύ
1.1,,μεγάλως,,
1.1,,ἐν,,ἐν
1.1,,τῷ,,
1.1,,κυρίῳ,,κύριος
1.1,,ἡμῶν,,ἐγώ
1.1,,Ἰησοῦ,,Ἰησοῦς
1.1,,Χριστῷ,",",χριστός
1.1,,δεξαμένοις,,
1.1,,τὰ,,
1.1,,μιμήματα,,μίμημα
1.1,,τῆς,,ὁ
1.1,,ἀληθοῦς,,ἀληθής
1.1,,ἀγάπης,,
1.1,,καὶ,,καί
1.1,,προπέμψασιν,",",προπέμπω
1.1,,ὡς,,ὡς
1.1,,ἐπέβαλεν,,ἐπιβάλλω
1.1,,ὑμῖν,",",σύ
1.1,,τοὺς,,ὁ
1.1,,ἐνειλημένους,,ἐνείλλω
1.1,,τοῖς,,ὁ
1.1,,ἁγιοπρεπέσιν,,
1.1,,δεσμοῖς,",",
1.1,,ἅτινά,,ὅστις
1.1,,ἐστιν,,εἰμί
1.1,,διαδήματα,,διάδημα
1.1,,τῶν,,ὁ
1.1,,ἀληθῶς,,ἀληθής
1.1,,ὑπὸ,,ὑπό
1.1,,θεοῦ,,θεός
1.1,,καὶ,,καί
1.1,,τοῦ,,
1.1,,κυρίου,,κύριος
1.1,,ἡμῶν,,ἐγώ
1.1,,ἐκλελεγμένων,·,ἐκ-λέγω3
1.2,,καὶ,,καί
1.2,,ὅτι,,
1.2,,ἡ,,ὁ
1.2,,βεβαία,,βέβαιος
1.2,,τῆς,,ὁ
1.2,,πίστεως,,πίστις
1.2,,ὑμῶν,,σύ
1.2,,ῥίζα,",",ῥίζα
1.2,,ἐξ,,ἐκ
1.2,,ἀρχαίων,,ἀρχαῖος
1.2,,καταγγελλομένη,,καταγγέλλω
1.2,,χρόνων,",",
1.2,,μέχρι,,μέχρι
1.2,,νῦν,,νῦν
1.2,,διαμένει,,διαμένω
1.2,,καὶ,,καί
1.2,,καρποφορεῖ,,καρποφορέω
1.2,,εἰς,,εἰς
1.2,,τὸν,,ὁ
1.2,,κύριον,,κύριος
1.2,,ἡμῶν,,ἐγώ
1.2,,Ἰησοῦν,,Ἰησοῦς
1.2,,Χριστόν,",",χριστός
1.2,,ὃς,,
1.2,,ὑπέμεινεν,,ὑπομένω
1.2,,ὑπὲρ,,ὑπέρ
1.2,,τῶν,,ὁ
1.2,,ἁμαρτιῶν,,ἁμαρτία
1.2,,ἡμῶν,,ἐγώ
1.2,,ἕως,,
1.2,,θανάτου,,
1.2,,καταντῆσαι,",",καταντάω
1.2,,ὃν,,ὅς
1.2,,ἤγειρεν,,
1.2,,ὁ,,ὁ
1.2,,θεός,",",θεός
1.2,,λύσας,,λύω
1.2,,τὰς,,ὁ
1.2,,ὠδῖνας,,ὠδίς
1.2,,τοῦ,,
1.2,,ᾅδου,·,ᾅδης
1.3,,εἰς,,εἰς
1.3,,ὃν,,ὅς
1.3,,οὐκ,,οὐ
1.3,,ἰδόντες,,εἶδον
1.3,,πιστεύετε,,πιστεύω
1.3,,χαρᾷ,,χαρά
1.3,,ἀνεκλαλήτῳ,,ἀνεκλάλητος
1.3,,καὶ,,καί
1.3,,δεδοξασμένῃ,",",δοξάζω
1.3,,εἰς,,εἰς
1.3,,ἣν,,ὅς
1.3,,πολλοὶ,,πολύς
1.3,,ἐπιθυμοῦσιν,,ἐπιθυμέω
1.3,,εἰσελθεῖν,",",εἰσέρχομαι
1.3,,εἰδότες,",",οἶδα
1.3,,ὅτι,,
1.3,,χάριτί,,χάρις
1.3,,ἐστε,,εἰμί
1.3,,σεσωσμένοι,",",σώζω
1.3,,οὐκ,,οὐ
1.3,,ἐξ,,ἐκ
1.3,,ἔργων,",",
1.3,,ἀλλὰ,,ἀλλά
1.3,,θελήματι,,θέλημα
1.3,,θεοῦ,,θεός
1.3,,διὰ,,διά
1.3,,Ἰησοῦ,,Ἰησοῦς
1.3,,Χριστοῦ,.,χριστός
2.1,,Διὸ,,διό
2.1,,ἀναζωσάμενοι,,ἀναζώννυμι
2.1,,τὰς,,ὁ
2.1,,ὀσφύας,,ὀσφύς
2.1,,ὑμῶν,,σύ
2.1,,δουλεύσατε,,δουλεύω
2.1,,τῷ,,
2.1,,θεῷ,,
2.1,,ἐν,,ἐν
2.1,,φόβῳ,,φόβος
2.1,,καὶ,,καί
2.1,,ἀληθείᾳ,",",ἀλήθεια
2.1,,ἀπολιπόντες,,ἀπολιμπάνω
2.1,,τὴν,,ὁ
2.1,,κενὴν,,κενός
2.1,,ματαιολογίαν,,ματαιολογία
2.1,,καὶ,,καί
2.1,,τὴν,,ὁ
2.1,,τῶν,,ὁ
2.1,,πολλῶν,,πολύς
2.1,,πλάνην,",",
2.1,,πιστεύσαντες,,πιστεύω
2.1,,εἰς,,εἰς
2.1,,τὸν,,ὁ
2.1,,ἐγείραντα,,ἐγείρω
2.1,,τὸν,,ὁ
2.1,,κύριον,,κύριος
2.1,,ἡμῶν,,ἐγώ
2.1,,Ἰησοῦν,,Ἰησοῦς
2.1,,Χριστὸν,,χριστός
2.1,,ἐκ,,ἐκ
2.1,,νεκρῶν,,
2.1,,καὶ,,καί
2.1,,δόντα,,δίδωμι
2.1,,αὐτῷ,,αὐτός
2.1,,δόξαν,,
2.1,,καὶ,,καί
2.1,,θρόνον,,
2.1,,ἐκ,,ἐκ
2.1,,δεξιῶν,,
2.1,,αὐτοῦ,·,
2.1,,ᾧ,,ὅς
2.1,,ὑπετάγη,,ὑποτάσσω
2.1,,τὰ,,
2.1,,πάντα,,πᾶς
2.1,,ἐπουράνια,,ἐπουράνιος
2.1,,καὶ,,καί
2.1,,ἐπίγεια,",",ἐπίγειος
2.1,,ᾧ,,ὅς
2.1,,πᾶσα,,πᾶς
2.1,,πνοὴ,,πνοή
2.1,,λατρεύει,",",λατρεύω
2.1,,ὃς,,
2.1,,ἔρχεται,,ἔρχομαι
2.1,,κριτὴς,,κριτής
2.1,,ζώντων,,ζάω
2.1,,καὶ,,καί
2.1,,νεκρῶν,",",
2.1,,οὗ,,
2.1,,τὸ,,ὁ
2.1,,αἷμα,,αἷμα
2.1,,ἐκζητήσει,,
2.1,,ὁ,,ὁ
2.1,,θεὸς,,θεός
2.1,,ἀπὸ,,ἀπό
2.1,,τῶν,,ὁ
2.1,,ἀπειθούντων,,ἀπειθέω
2.1,,αὐτῷ,.,αὐτός
2.2,,ὁ,,ὁ
2.2,,δὲ,,δέ
2.2,,ἐγείρας,,ἐγείρω
2.2,,αὐτὸν,,αὐτός
2.2,,ἐκ,,ἐκ
2.2,,νεκρῶν,,
2.2,,καὶ,,καί
2.2,,ἡμᾶς,,ἐγώ
2.2,,ἐγερεῖ,",",ἐγείρω
2.2,,ἐὰν,,ἐάν
2.2,,ποιῶμεν,,
2.2,,αὐτοῦ,,
2.2,,τὸ,,ὁ
2.2,,θέλημα,,θέλημα
2.2,,καὶ,,καί
2.2,,πορευώμεθα,,πορεύω
2.2,,ἐν,,ἐν
2.2,,ταῖς,,ὁ
2.2,,ἐντολαῖς,,ἐντολή
2.2,,αὐτοῦ,,
2.2,,καὶ,,καί
2.2,,ἀγαπῶμεν,,
2.2,,ἃ,,
2.2,,ἠγάπησεν,",",ἀγαπάω
2.2,,ἀπεχόμενοι,,ἀπέχω
2.2,,πάσης,,
2.2,,ἀδικίας,",",ἀδικία
2.2,,πλεονεξίας,",",πλεονεξία
2.2,,φιλαργυρίας,",",φιλαργυρία
2.2,,καταλαλιᾶς,",",καταλαλιά
2.2,,ψευδομαρτυρίας,·,ψευδομαρτυρία
2.2,,μὴ,,μή
2.2,,ἀποδιδόντες,,ἀποδίδωμι
2.2,,κακὸν,,κακός
2.2,,ἀντὶ,,ἀντί
2.2,,κακοῦ,,
2.2,,ἢ,,
2.2,,λοιδορίαν,,λοιδορία
2.2,,ἀντὶ,,ἀντί
2.2,,λοιδορίας,,λοιδορία
2.2,,ἢ,,
2.2,,γρόνθον,,γρόνθος
2.2,,ἀντὶ,,ἀντί
2.2,,γρόνθου,,γρόνθος
2.2,,ἢ,,
2.2,,κατάραν,,
2.2,,ἀντὶ,,ἀντί
2.2,,κατάρας,·,
2.3,,μνημονεύοντες,,μνημονεύω
2.3,,δὲ,,δέ
2.3,,ὧν,,ὅς
2.3,,εἶπεν,,εἶπον
2.3,,ὁ,,ὁ
2.3,,κύριος,,κύριος
2.3,,διδάσκων,·,διδάσκω
2.3,,Μὴ,,μή
2.3,,κρίνετε,",",κρίνω
2.3,,ἵνα,,ἵνα
2.3,,μὴ,,μή
2.3,,κριθῆτε,·,
2.3,,ἀφίετε,",",ἀφίημι
2.3,,καὶ,,καί
2.3,,ἀφεθήσεται,,ἀφίημι
2.3,,ὑμῖν,·,σύ
2.3,,ἐλεᾶτε,",",ἐλεάω
2.3,,ἵνα,,ἵνα
2.3,,ἐλεηθῆτε,·,
2.3,,ᾧ,,ὅς
2.3,,μέτρῳ,,μέτρον
2.3,,μετρεῖτε,",",μετρέω
2.3,,ἀντιμετρηθήσεται,,ἀντιμετρέω
2.3,,ὑμῖν,·,σύ
2.3,,καὶ,,καί
2.3,,ὅτι,,
2.3,,μακάριοι,,μακάριος
2.3,,οἱ,,
2.3,,πτωχοὶ,,πτωχός
2.3,,καὶ,,καί
2.3,,οἱ,,
2.3,,διωκόμενοι,,διώκω
2.3,,ἕνεκεν,,ἕνεκα
2.3,,δικαιοσύνης,",",δικαιοσύνη
2.3,,ὅτι,,
2.3,,αὐτῶν,,αὐτός
2.3,,ἐστὶν,,εἰμί
2.3,,ἡ,,ὁ
2.3,,βασιλεία,,
2.3,,τοῦ,,
2.3,,θεοῦ,.,θεός
3.1,,Ταῦτα,",",οὗτος
3.1,,ἀδελφοί,",",ἀδελφός
3.1,,οὐκ,,οὐ
3.1,,ἐμαυτῷ,,ἐμαυτοῦ
3.1,,ἐπιτρέψας,,ἐπιτρέπω
3.1,,γράφω,,γράφω
3.1,,ὑμῖν,,σύ
3.1,,περὶ,,περί
3.1,,τῆς,,ὁ
3.1,,δικαιοσύνης,",",δικαιοσύνη
3.1,,ἀλλ’,,
3.1,,ἐπεὶ,,ἐπεί
3.1,,ὑμεῖς,,σύ
3.1,,προεπεκαλέσασθέ,,πρό-ἐπικαλέω
3.1,,με,.,ἐγώ
3.2,,οὔτε,,οὔτε
3.2,,γὰρ,,γάρ
3.2,,ἐγὼ,,ἐγώ
3.2,,οὔτε,,οὔτε
3.2,,ἄλλος,,ἄλλος
3.2,,ὅμοιος,,
3.2,,ἐμοὶ,,
3.2,,δύναται,,δύναμαι
3.2,,κατακολουθῆσαι,,κατακολουθέω
3.2,,τῇ,,
3.2,,σοφίᾳ,,σοφία
3.2,,τοῦ,,
3.2,,μακαρίου,,μακάριος
3.2,,καὶ,,καί
3.2,,ἐνδόξου,,ἔνδοξος
3.2,,Παύλου,",",Παῦλος
3.2,,ὃς,,
3.2,,γενόμενος,,γίγνομαι
3.2,,ἐν,,ἐν
3.2,,ὑμῖν,,σύ
3.2,,κατὰ,,κατά
3.2,,πρόσωπον,,πρόσωπον
3.2,,τῶν,,ὁ
3.2,,τότε,,τότε
3.2,,ἀνθρώπων,,ἄνθρωπος
3.2,,ἐδίδαξεν,,διδάσκω
3.2,,ἀκριβῶς,,
3.2,,καὶ,,καί
3.2,,βεβαίως,,
3.2,,τὸν,,ὁ
3.2,,περὶ,,περί
3.2,,ἀληθείας,,ἀλήθεια
3.2,,λόγον,",",λόγος
3.2,,ὃς,,
3.2,,καὶ,,καί
3.2,,ἀπὼν,,ἄπειμι1
3.2,,ὑμῖν,,σύ
3.2,,ἔγραψεν,,γράφω
3.2,,ἐπιστολάς,",",ἐπιστολή
3.2,,εἰς,,εἰς
3.2,,ἃς,,ὅς
3.2,,ἐὰν,,ἐάν
3.2,,ἐγκύπτητε,",",ἐγκύπτω
3.2,,δυνηθήσεσθε,,δύναμαι
3.2,,οἰκοδομεῖσθαι,,οἰκοδομέω
3.2,,εἰς,,εἰς
3.2,,τὴν,,ὁ
3.2,,δοθεῖσαν,,δίδωμι
3.2,,ὑμῖν,,σύ
3.2,,πίστιν,·,πίστις
3.3,,ἥτις,,ὅστις
3.3,,ἐστὶν,,εἰμί
3.3,,μήτηρ,,μήτηρ
3.3,,πάντων,,πᾶς
3.3,,ἡμῶν,",",ἐγώ
3.3,,ἐπακολουθούσης,,ἐπακολουθέω
3.3,,τῆς,,ὁ
3.3,,ἐλπίδος,",",ἐλπίς
3.3,,προαγούσης,,προάγω
3.3,,τῆς,,ὁ
3.3,,ἀγάπης,,
3.3,,τῆς,,ὁ
3.3,,εἰς,,εἰς
3.3,,θεὸν,,θεός
3.3,,καὶ,,καί
3.3,,Χριστὸν,,χριστός
3.3,,καὶ,,καί
3.3,,εἰς,,εἰς
3.3,,τὸν,,ὁ
3.3,,πλησίον,.,
3.3,,ἐὰν,,ἐάν
3.3,,γάρ,,γάρ
3.3,,τις,,τις
3.3,,τούτων,,οὗτος
3.3,,ἐντὸς,,ἐντός
3.3,,ᾖ,",",εἰμί
3.3,,πεπλήρωκεν,,πληρόω
3.3,,ἐντολὴν,,ἐντολή
3.3,,δικαιοσύνης,·,δικαιοσύνη
3.3,,ὁ,,ὁ
3.3,,γὰρ,,γάρ
3.3,,ἔχων,,
3.3,,ἀγάπην,,
3.3,,μακράν,,
3.3,,ἐστιν,,εἰμί
3.3,,πάσης,,
3.3,,ἁμαρτίας,.,ἁμαρτία
4.1,,Ἀρχὴ,,ἀρχή
4.1,,δὲ,,δέ
4.1,,πάντων,,πᾶς
4.1,,χαλεπῶν,,χαλεπός
4.1,,φιλαργυρία,.,φιλαργυρία
4.1,,εἰδότες,,οἶδα
4.1,,οὖν,,οὖν
4.1,,ὅτι,,
4.1,,οὐδὲν,,οὐδείς
4.1,,εἰσηνέγκαμεν,,εἰσφέρω
4.1,,εἰς,,εἰς
4.1,,τὸν,,ὁ
4.1,,κόσμον,",",κόσμος
4.1,,ἀλλ’,,
4.1,,οὐδὲ,,οὐδέ
4.1,,ἐξενεγκεῖν,,ἐκφέρω
4.1,,τι,,τις
4.1,,ἔχομεν,",",ἔχω
4.1,,ὁπλισώμεθα,,ὁπλίζω
4.1,,τοῖς,,ὁ
4.1,,ὅπλοις,,ὅπλον
4.1,,τῆς,,ὁ
4.1,,δικαιοσύνης,,δικαιοσύνη
4.1,,καὶ,,καί
4.1,,διδάξωμεν,,διδάσκω
4.1,,ἑαυτοὺς,,ἑαυτοῦ
4.1,,πρῶτον,,
4.1,,πορεύεσθαι,,πορεύω
4.1,,ἐν,,ἐν
4.1,,τῇ,,
4.1,,ἐντολῇ,,
4.1,,τοῦ,,
4.1,,κυριοῦ,·,κυριόω
4.2,,ἔπειτα,,ἔπειτα
4.2,,καὶ,,καί
4.2,,τὰς,,ὁ
4.2,,γυναῖκας,,γυνή
4.2,,ἡμῶν,,ἐγώ
4.2,,ἐν,,ἐν
4.2,,τῇ,,
4.2,,δοθείσῃ,,δίδωμι
4.2,,αὐταῖς,,αὐτός
4.2,,πίστει,,πίστις
4.2,,καὶ,,καί
4.2,,ἀγάπῃ,,ἀγάπη
4.2,,καὶ,,καί
4.2,,ἁγνείᾳ,,ἁγνεία
4.2,,στεργούσας,,στέργω
4.2,,τοὺς,,ὁ
4.2,,ἑαυτῶν,,ἑαυτοῦ
4.2,,ἄνδρας,,ἀνήρ
4.2,,ἐν,,ἐν
4.2,,πάσῃ,,
4.2,,ἀληθείᾳ,,ἀλήθεια
4.2,,καὶ,,καί
4.2,,ἀγαπώσας,,
4.2,,πάντας,,πᾶς
4.2,,ἐξ,,ἐκ
4.2,,ἴσου,,
4.2,,ἐν,,ἐν
4.2,,πάσῃ,,
4.2,,ἐγκρατείᾳ,",",ἐγκράτεια
4.2,,καὶ,,καί
4.2,,τὰ,,
4.2,,τέκνα,,τέκνον
4.2,,παιδεύειν,,παιδεύω
4.2,,τὴν,,ὁ
4.2,,παιδείαν,,παιδεία
4.2,,τοῦ,,
4.2,,φόβου,,φόβος
4.2,,τοῦ,,
4.2,,θεοῦ,·,θεός
4.3,,τὰς,,ὁ
4.3,,χήρας,,
4.3,,σωφρονούσας,,σωφρονέω
4.3,,περὶ,,περί
4.3,,τὴν,,ὁ
4.3,,τοῦ,,
4.3,,κυρίου,,κύριος
4.3,,πίστιν,",",πίστις
4.3,,ἐντυγχανούσας,,ἐντυγχάνω
4.3,,ἀδιαλείπτως,,ἀδιάλειπτος
4.3,,περὶ,,περί
4.3,,πάντων,",",πᾶς
4.3,,μακρὰν,,
4.3,,οὔσας,,εἰμί
4.3,,πάσης,,
4.3,,διαβολῆς,",",διαβολή
4.3,,καταλαλιᾶς,",",καταλαλιά
4.3,,ψευδομαρτυρίας,",",ψευδομαρτυρία
4.3,,φιλαργυρίας,,φιλαργυρία
4.3,,καὶ,,καί
4.3,,παντὸς,,πᾶς
4.3,,κακοῦ,",",
4.3,,γινωσκούσας,,γιγνώσκω
4.3,,ὅτι,,
4.3,,εἰσὶ,,εἰμί
4.3,,θυσιαστήριον,,
4.3,,θεοῦ,,θεός
4.3,,καὶ,,καί
4.3,,ὅτι,,
4.3,,πάντα,,πᾶς
4.3,,μωμοσκοπεῖται,",",
4.3,,καὶ,,καί
4.3,,λέληθεν,,λανθάνω
4.3,,αὐτὸν,,αὐτός
4.3,,οὐδὲν,,οὐδείς
4.3,,οὔτε,,οὔτε
4.3,,λογισμῶν,,λογισμός
4.3,,οὔτε,,οὔτε
4.3,,ἐννοιῶν,,ἔννοια
4.3,,οὔτε,,οὔτε
4.3,,τι,,τις
4.3,,τῶν,,ὁ
4.3,,κρυπτῶν,,
4.3,,τῆς,,ὁ
4.3,,καρδίας,.,καρδία
5.1,,Εἰδότες,",",οἶδα
5.1,,οὖν,",",οὖν
5.1,,ὅτι,,
5.1,,θεὸς,,θεός
5.1,,οὐ,,οὐ
5.1,,μυκτηρίζεται,",",μυκτηρίζω
5.1,,ὀφείλομεν,,
5.1,,ἀξίως,,
5.1,,τῆς,,ὁ
5.1,,ἐντολῆς,,
5.1,,αὐτοῦ,,
5.1,,καὶ,,καί
5.1,,δόξης,,
5.1,,περιπατεῖν,.,περιπατέω
5.2,,ὁμοίως,,
5.2,,διάκονοι,,διάκονος
5.2,,ἄμεμπτοι,,ἄμεμπτος
5.2,,κατενώπιον,,κατενώπιον
5.2,,αὐτοῦ,,
5.2,,τῆς,,ὁ
5.2,,δικαιοσύνης,,δικαιοσύνη
5.2,,ὡς,,ὡς
5.2,,θεοῦ,,θεός
5.2,,καὶ,,καί
5.2,,Χριστοῦ,,χριστός
5.2,,διάκονοι,,διάκονος
5.2,,καὶ,,καί
5.2,,οὐκ,,οὐ
5.2,,ἀνθρώπων,·,ἄνθρωπος
5.2,,μὴ,,μή
5.2,,διάβολοι,",",διάβολος
5.2,,μὴ,,μή
5.2,,δίλογοι,",",δίλογος
5.2,,ἀφιλάργυροι,",",ἀφιλάργυρος
5.2,,ἐγκρατεῖς,,
5.2,,περὶ,,περί
5.2,,πάντα,",",πᾶς
5.2,,εὔσπλαγχνοι,",",εὔσπλαγχνος
5.2,,ἐπιμελεῖς,",",ἐπιμελής
5.2,,πορευόμενοι,,πορεύω
5.2,,κατὰ,,κατά
5.2,,τὴν,,ὁ
5.2,,ἀλήθειαν,,ἀλήθεια
5.2,,τοῦ,,
5.2,,κυρίου,",",κύριος
5.2,,ὃς,,
5.2,,ἐγένετο,,γίγνομαι
5.2,,διάκονος,,διάκονος
5.2,,πάντων,·,πᾶς
5.2,,ᾧ,,ὅς
5.2,,ἐὰν,,ἐάν
5.2,,εὐαρεστήσωμεν,,εὐαρεστέω
5.2,,ἐν,,ἐν
5.2,,τῷ,,
5.2,,νῦν,,νῦν
5.2,,αἰῶνι,",",αἰών
5.2,,ἀποληψόμεθα,,ἀπολαμβάνω
5.2,,καὶ,,καί
5.2,,τὸν,,ὁ
5.2,,μέλλοντα,",",μέλλω
5.2,,καθὼς,,καθώς
5.2,,ὑπέσχετο,,
5.2,,ἡμῖν,,ἐγώ
5.2,,ἐγεῖραι,,ἐγείρω
5.2,,ἡμᾶς,,ἐγώ
5.2,,ἐκ,,ἐκ
5.2,,νεκρῶν,",",
5.2,,καὶ,,καί
5.2,,ὅτι,,
5.2,,ἐὰν,,ἐάν
5.2,,πολιτευσώμεθα,,πολιτεύω
5.2,,ἀξίως,,
5.2,,αὐτοῦ,",",
5.2,,καὶ,,καί
5.2,,συμβασιλεύσομεν,,συμβασιλεύω
5.2,,αὐτῷ,",",αὐτός
5.2,,εἴγε,,εἰ
5.2,,πιστεύομεν,.,πιστεύω
5.3,,ὁμοίως,,
5.3,,καὶ,,καί
5.3,,νεώτεροι,,
5.3,,ἄμεμπτοι,,ἄμεμπτος
5.3,,ἐν,,ἐν
5.3,,πᾶσιν,",",
5.3,,πρὸ,,πρό
5.3,,παντὸς,,πᾶς
5.3,,προνοοῦντες,,
5.3,,ἁγνείας,,ἁγνεία
5.3,,καὶ,,καί
5.3,,χαλιναγωγοῦντες,,χαλιναγωγέω
5.3,,ἑαυτοὺς,,ἑαυτοῦ
5.3,,ἀπὸ,,ἀπό
5.3,,παντὸς,,πᾶς
5.3,,κακοῦ,.,
